idx	C3L-00102	C3L-00819	C3L-01637	C3L-02606	C3L-02610	C3L-02809	C3L-02899	C3L-03123	C3L-04072	C3N-00436	C3N-00518	C3N-02010	C3N-02589	C3N-02768	C3N-03780
ENSG00000285879.1	6.1828	6.0856	6.2109	6.441	6.3174	6.5019	7.0625	7.3457	6.8934	5.0182	6.024	6.7509	6.6533	6.7833	6.8975
ENSG00000285880.1	3.2805	2.6999	2.7826	2.5812	4.1112	1.5778	2.918	4.2357	2.5009	3.3202	3.5453	3.6342	3.1901	3.2512	4.4168
ENSG00000285881.1	3.3799	2.4924	3.5162	3.9677	2.2479	3.5632	3.3438	3.531	2.6081	3.0983	2.8538	2.6568	0.9136	1.451	1.2495
ENSG00000285882.1	0	0.948	0	0	0	0	0	0	0	0	0	0	0.9136	0	0
ENSG00000285883.1	0	0.948	0	0	1.1699	0	0	0	1.825	1.057	0	0	0	0	0
ENSG00000285884.1	3.2407	3.2251	4.3086	4.058	4.5567	3.8929	3.88	4.9475	4.1242	4.4264	3.9321	2.889	3.5361	3.2808	4.9749
ENSG00000285885.1	0.9565	0.948	0	0	1.1699	0	1.1481	1.4627	0	1.057	0	1.0466	0.9136	1.451	1.9034
ENSG00000285886.1	6.7125	6.6452	6.9512	6.6711	6.7586	5.722	5.4444	7.2453	6.5938	6.9508	6.4634	7.1011	6.6832	6.3539	7.5291
ENSG00000285887.1	5.6833	5.2967	6.471	6.6911	6.5782	6.2619	5.5043	6.9034	5.4765	6.1502	5.5749	6.7409	5.6649	6.9331	6.3253
ENSG00000285888.1	3.3799	3.3641	4.519	2.0466	0	2.7943	3.0565	1.4627	2.7936	2.6737	2.4412	2.6568	2.8451	2.4167	2.9744
ENSG00000285889.1	3.9074	4.4089	3.9376	4.3386	4.3038	4.4225	3.9098	4.5775	4.4119	4.3862	4.5882	4.4675	4.0915	4.3507	4.1211
ENSG00000285890.1	0	0	0	0	0	0	0	0	0.8857	0	0	0	0	0	1.2495
ENSG00000285891.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285892.1	2.7346	3.891	3.2049	3.3757	2.583	3.753	3.7806	4.2565	3.0189	3.2093	4.1705	4.1765	3.6649	3.5376	4.5693
ENSG00000285894.2	0.9565	0	0	1.0312	2.583	0.9909	1.7584	0	2.1326	1.057	0	1.6417	0.9136	2.1636	0
ENSG00000285895.1	1.5414	1.9213	2.3696	1.6214	0	1.1002	2.2183	2.1681	2.1326	1.057	1.8174	1.6417	1.4638	2.8279	3.4842
ENSG00000285896.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9042	0
ENSG00000285897.1	5.0243	6.0257	5.9707	6.391	7.0893	4.0628	5.7938	6.7322	6.1946	6.2803	5.3854	6.7709	6.1739	5.2066	7.459
ENSG00000285898.1	6.1728	6.3754	6.6011	6.6311	6.7085	6.5019	6.7228	6.8228	6.5439	6.6406	6.4135	6.5908	6.7931	6.4337	7.058
ENSG00000285899.1	0	0	0	1.0312	0	0	0	0	0.8857	0	0	0	0.9136	0	0
ENSG00000285900.1	1.5218	3.2251	2.8631	2.0466	3.8776	4.8923	3.0565	0	1.825	2.4101	3.7534	3.2519	4.0815	3.7257	3.2146
ENSG00000285901.1	8.4919	8.2045	8.1215	8.2815	7.9805	8.0218	8.0921	7.2855	8.4722	8.1314	8.1622	8.0114	8.2521	8.4321	8.3704
